sub,trl,cpos,cdur,resp,rt,type,d1,d2,correct,c_s,inCm,UCL
1,534,2,580,2,154,2,500,580,1,0.505,TRUE,0.5075
1,533,2,580,2,158,2,500,580,1,0.50995,TRUE,0.5105537019571333
1,370,2,520,2,163,2,500,520,1,0.5148505,FALSE,0.5128613432643134
1,452,2,520,2,184,2,500,520,1,0.519701995,FALSE,0.5147774290377692
1,547,2,540,2,188,2,500,540,1,0.52450497505,FALSE,0.5164400972633338
1,315,2,600,2,189,2,500,600,1,0.5292599252995001,FALSE,0.5179206107526256
1,336,2,520,2,196,2,500,520,1,0.5339673260465051,FALSE,0.5192615533844276
1,583,2,500,2,200,3,500,500,0,NA,empty,NA
1,589,2,520,2,201,2,500,520,1,0.5386276527860401,FALSE,0.5216279654700459
1,609,2,580,2,203,2,500,580,1,0.5432413762581797,FALSE,0.5226872274519181
1,541,2,500,2,209,3,500,500,0,NA,empty,NA
1,580,2,540,2,223,2,500,540,1,0.5478089624955979,FALSE,0.5246131931158166
1,316,2,520,2,227,2,500,520,1,0.5523308728706419,FALSE,0.5254951695577199
1,482,2,600,2,227,2,500,600,1,0.5568075641419354,FALSE,0.5263309437303039
1,487,2,560,2,227,2,500,560,1,0.5612394885005161,FALSE,0.5271251093570815
1,498,2,600,2,230,2,500,600,1,0.5656270936155109,FALSE,0.5278815297936953
1,425,2,540,2,232,2,500,540,1,0.5699708226793558,FALSE,0.5286034936246318
1,379,2,460,2,233,1,500,460,0,0.5642711144525623,FALSE,0.5292938298378416
1,226,2,560,2,237,2,500,560,1,0.5686284033080367,FALSE,0.5299549947435099
1,565,2,560,1,237,2,500,560,0,0.5629421192749563,FALSE,0.5305891386942005
1,300,2,520,2,240,2,500,520,1,0.5673126980822067,FALSE,0.5311981580782037
1,410,2,600,2,241,2,500,600,1,0.5716395711013846,FALSE,0.5317837363856089
1,210,2,580,2,242,2,500,580,1,0.5759231753903707,FALSE,0.5323473770381332
1,537,2,600,2,242,2,500,600,1,0.5801639436364671,FALSE,0.5328904299227347
1,539,2,580,2,243,2,500,580,1,0.5843623042001024,FALSE,0.5334141130501818
1,598,2,560,2,244,2,500,560,1,0.5885186811581014,FALSE,0.5339195303948451
1,201,2,480,2,245,1,500,480,0,0.5826334943465203,FALSE,0.5344076867112117
1,256,2,540,2,245,2,500,540,1,0.5868071594030552,FALSE,0.5348794999335003
1,643,2,540,2,248,2,500,540,1,0.5909390878090246,FALSE,0.5353358116257485
1,398,2,600,2,249,2,500,600,1,0.5950296969309343,FALSE,0.535777395846312
1,187,2,600,2,250,2,500,600,1,0.599079399961625,FALSE,0.5362049667128446
1,574,2,520,2,250,2,500,520,1,0.6030886059620088,FALSE,0.5366191848946162
1,374,2,520,2,251,2,500,520,1,0.6070577199023887,FALSE,0.5370206632135271
1,373,2,540,2,255,2,500,540,1,0.6109871427033647,FALSE,0.5374099714999155
1,522,2,500,2,257,3,500,500,0,NA,empty,NA
1,527,2,600,2,257,2,500,600,1,0.6148772712763311,FALSE,0.538154167183563
1,555,2,600,2,257,2,500,600,1,0.6187284985635678,FALSE,0.5385100147760189
1,596,2,480,2,257,1,500,480,0,0.6125412135779321,FALSE,0.538855618839648
1,321,2,560,2,259,2,500,560,1,0.6164158014421528,FALSE,0.5391913881996455
1,525,2,540,2,259,2,500,540,1,0.6202516434277313,FALSE,0.5395177075160733
1,450,2,600,2,260,2,500,600,1,0.624049126993454,FALSE,0.5398349392882696
1,553,2,580,2,260,2,500,580,1,0.6278086357235195,FALSE,0.5401434256457633
1,573,2,600,2,260,2,500,600,1,0.6315305493662844,FALSE,0.5404434899531142
1,101,2,600,2,261,2,500,600,1,0.6352152438726215,FALSE,0.5407354382520166
1,243,2,460,1,261,1,500,460,1,0.6388630914338953,FALSE,0.541019560560605
1,571,2,580,2,263,2,500,580,1,0.6424744605195564,FALSE,0.541296132047061
1,167,2,540,2,265,2,500,540,1,0.6460497159143608,FALSE,0.5415654140922418
1,318,2,560,2,268,2,500,560,1,0.6495892187552171,FALSE,0.5418276552540446
1,653,2,600,2,268,2,500,600,1,0.653093326567665,FALSE,0.5420830921445251
1,61,2,500,2,269,3,500,500,0,NA,empty,NA
1,264,2,520,2,269,2,500,520,1,0.6565623933019883,FALSE,0.5425744445579359
1,166,2,540,2,271,2,500,540,1,0.65999676936896845,FALSE,0.5428107804315848
1,224,2,540,2,271,2,500,540,1,0.6633968016752788,FALSE,0.5430411540160143
1,364,2,540,2,271,2,500,540,1,0.6667628336585261,FALSE,0.5432657529039258
1,439,2,540,2,273,2,500,540,1,0.6700952053219408,FALSE,0.5434847566325732
1,485,2,520,2,274,2,500,520,1,0.6733942532687214,FALSE,0.5436983371607225
1,237,2,600,2,275,2,500,600,1,0.6766603107360342,FALSE,0.5439066593088906
1,257,2,500,2,275,3,500,500,0,NA,empty,NA
1,320,2,600,2,275,2,500,600,1,0.6798937076286738,FALSE,0.5443081544677538
1,232,2,500,1,276,3,500,500,0,NA,empty,NA
1,629,2,580,2,276,2,500,580,1,0.6830947705523871,FALSE,0.5446904326400867
1,478,2,520,2,279,2,500,520,1,0.6862638228468633,FALSE,0.5448747122290931
1,235,2,480,2,280,1,500,480,0,0.6794011846183946,FALSE,0.5450545932804948
1,165,2,560,2,281,2,500,560,1,0.6826071727722106,FALSE,0.54523020052791
1,55,2,580,2,282,2,500,580,1,0.6857811010444885,FALSE,0.5454016541119707
1,247,2,480,2,284,1,500,480,0,0.6789232900340436,FALSE,0.5455690698083753
1,477,2,580,2,284,2,500,580,1,0.6821340571337032,FALSE,0.5457325592411894
1,134,2,500,2,285,3,500,500,0,NA,empty,NA
1,384,2,540,2,285,2,500,540,1,0.6853127165623663,FALSE,0.5460481862399655
1,401,2,460,1,285,1,500,460,1,0.6884595893967426,FALSE,0.5462005280317914
1,181,2,560,2,287,2,500,560,1,0.6915749935027752,FALSE,0.5463493523524015
1,458,2,600,2,288,2,500,600,1,0.6946592435677474,FALSE,0.5464947528272134
1,591,2,600,2,288,2,500,600,1,0.6977126511320699,FALSE,0.5466368199586811
1,333,2,560,2,289,2,500,560,1,0.7007355246207493,FALSE,0.5467756412637909
1,586,2,480,2,290,1,500,480,0,0.6937281693745417,FALSE,0.5469113014036878
1,358,2,580,2,291,2,500,580,1,0.6967908876807963,FALSE,0.5470438823059899
1,421,2,500,2,291,3,500,500,0,NA,empty,NA
1,230,2,560,2,292,2,500,560,1,0.6998229788039884,FALSE,0.5473001211273746
1,520,2,560,2,292,2,500,560,1,0.7028247490159485,FALSE,0.5474239302424091
1,593,2,580,2,292,2,500,580,1,0.705796501525789,FALSE,0.547544962712785
1,463,2,520,2,293,2,500,520,1,0.7087385365105311,FALSE,0.5476632884106925
1,277,2,520,2,294,2,500,520,1,0.7116511511454258,FALSE,0.5477789750809353
1,501,2,580,2,294,2,500,580,1,0.7145346396339715,FALSE,0.5478920884242369
1,363,2,560,2,295,2,500,560,1,0.7173892932376318,FALSE,0.548002692176331
1,568,2,480,2,295,1,500,480,0,0.7102154003052554,FALSE,0.5481108481831042
1,153,2,560,2,296,2,500,560,1,0.7131132463022029,FALSE,0.548216616472032
1,350,2,580,2,296,2,500,580,1,0.7159821138391809,FALSE,0.5483200553201382
1,103,2,540,2,297,2,500,540,1,0.718822292700789,FALSE,0.5484212213186843
1,248,2,540,2,297,2,500,540,1,0.7216340697737811,FALSE,0.5485201694347881
1,376,2,400,1,297,1,500,400,1,0.7244177290760433,FALSE,0.5486169530701496
1,303,2,480,2,298,1,500,480,0,0.7171735517852829,FALSE,0.5487116241170545
1,367,2,600,2,299,2,500,600,1,0.72000181626743,FALSE,0.5488042330118116
1,150,2,600,2,301,2,500,600,1,0.7228017981047556,FALSE,0.54889482878577
1,397,2,480,1,301,1,500,480,1,0.7255737801237081,FALSE,0.5489834591140537
1,239,2,420,2,302,1,500,420,0,0.718318042322471,FALSE,0.5490701703621383
1,319,2,540,2,302,2,500,540,1,0.7211348618992462,FALSE,0.5491550076303914
1,486,2,540,2,302,2,500,540,1,0.7239235132802538,FALSE,0.549238014796684
1,413,2,580,2,304,2,500,580,1,0.7266842781474513,FALSE,0.5493192345571808
1,156,2,500,2,305,3,500,500,0,NA,empty,NA
