sub,trl,cpos,cdur,resp,rt,type,d1,d2,correct,rt_new,c_s,inCm,UCL
1,272,1,420,1,0.003,2,420,500,0,0.003,0.495,TRUE,0.5075
1,39,1,300,2,0.008,2,300,500,1,0.008,0.50005,TRUE,0.5105537019571333
1,110,1,380,2,0.013,2,380,500,1,0.013,0.5050494999999999,TRUE,0.5128613432643134
1,504,1,380,2,0.028,2,380,500,1,0.028,0.509999005,TRUE,0.5147774290377692
1,535,1,380,2,0.038,2,380,500,1,0.038,0.5148990149499999,TRUE,0.5164400972633338
1,137,2,700,2,0.041,2,500,700,1,0.041,0.5197500248004999,FALSE,0.5179206107526256
1,481,2,700,2,0.067,2,500,700,1,0.067,0.5245525245524949,FALSE,0.5192615533844276
1,418,1,700,2,0.074,1,700,500,0,-0.126,0.51930699930697,TRUE,0.520490836750836
1,382,1,580,2,0.083,1,580,500,0,0.0030000000000000027,0.5141139293139003,TRUE,0.5216279654700459
1,303,2,700,1,0.086,2,500,700,0,0.086,0.5089727900207613,TRUE,0.5226872274519181
1,645,1,420,2,0.088,2,420,500,1,0.088,0.5138830621205538,TRUE,0.5236794753889293
1,514,1,300,2,0.091,2,300,500,1,0.091,0.5187442314993482,TRUE,0.5246131931158166
1,445,2,620,2,0.097,2,500,620,1,0.097,0.5235567891843548,TRUE,0.5254951695577199
1,249,2,700,2,0.098,2,500,700,1,0.098,0.5283212212925112,FALSE,0.5263309437303039
1,218,2,660,2,0.108,2,500,660,1,0.108,0.5330380090795861,FALSE,0.5271251093570815
1,10,2,700,2,0.113,2,500,700,1,0.113,0.5377076289887902,FALSE,0.5278815297936953
1,79,1,340,2,0.119,2,340,500,1,0.119,0.5423305526989023,FALSE,0.5286034936246318
1,642,1,300,2,0.119,2,300,500,1,0.119,0.5469072471719133,FALSE,0.5292938298378416
1,320,2,700,2,0.12,2,500,700,1,0.12,0.5514381747001942,FALSE,0.5299549947435099
1,21,1,420,2,0.121,2,420,500,1,0.121,0.5559237929531923,FALSE,0.5305891386942005
1,82,2,620,2,0.124,2,500,620,1,0.124,0.5603645550236603,FALSE,0.5311981580782037
1,606,2,700,2,0.124,2,500,700,1,0.124,0.5647609094734237,FALSE,0.5317837363856089
1,13,2,580,2,0.126,2,500,580,1,0.126,0.5691133003786895,FALSE,0.5323473770381332
1,232,1,300,2,0.13,2,300,500,1,0.13,0.5734221673749026,FALSE,0.5328904299227347
1,444,2,620,2,0.132,2,500,620,1,0.132,0.5776879457011536,FALSE,0.5334141130501818
1,401,1,460,2,0.141,2,460,500,1,0.141,0.581911066244142,FALSE,0.5339195303948451
1,5,1,300,2,0.146,2,300,500,1,0.146,0.5860919555817006,FALSE,0.5344076867112117
1,580,2,500,2,0.146,3,500,500,0,0.146,NA,empty,NA
1,223,1,460,2,0.147,2,460,500,1,0.147,0.5902310360258836,FALSE,0.5353358116257485
1,358,1,300,2,0.147,2,300,500,1,0.147,0.5943287256656248,FALSE,0.535777395846312
1,222,2,500,2,0.148,3,500,500,0,0.148,NA,empty,NA
1,537,1,340,2,0.149,2,340,500,1,0.149,0.5983854384089685,FALSE,0.5366191848946162
1,630,1,300,2,0.149,2,300,500,1,0.149,0.6024015840248789,FALSE,0.5370206632135271
1,227,1,300,2,0.151,2,300,500,1,0.151,0.6063775681846301,FALSE,0.5374099714999155
1,173,1,340,2,0.163,2,340,500,1,0.163,0.6103137925027837,FALSE,0.5377876408216862
1,343,2,380,2,0.163,1,500,380,0,0.04300000000000001,0.6042106545777559,FALSE,0.538154167183563
1,30,2,660,2,0.164,2,500,660,1,0.164,0.6081685480319784,FALSE,0.5385100147760189
1,67,2,620,2,0.164,2,500,620,1,0.164,0.6120868625516586,FALSE,0.538855618839648
1,80,2,540,2,0.169,2,500,540,1,0.169,0.6159659939261419,FALSE,0.5391913881996455
1,344,2,540,2,0.174,2,500,540,1,0.174,0.6198063339868806,FALSE,0.5395177075160733
1,361,2,660,2,0.175,2,500,660,1,0.175,0.6236082706470117,FALSE,0.5398349392882696
1,234,2,660,2,0.176,2,500,660,1,0.176,0.6273721879405416,FALSE,0.5401434256457633
1,225,2,540,2,0.179,2,500,540,1,0.179,0.6310984660611362,FALSE,0.5404434899531142
1,77,2,620,2,0.18,2,500,620,1,0.18,0.6347874814005248,FALSE,0.5407354382520166
1,300,1,380,1,0.18,2,380,500,0,0.18,0.6284396065865195,FALSE,0.541019560560605
